epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09202,1.33104,3.0432,1.74606,0.81237,0.75,0.85893,0.62138,1.50568,1.12168,1.41261,0,0,0
2,10.1103,0.91376,2.9631,1.3497,0.81608,0.75,0.86716,0.61969,1.50666,1.1408,1.41278,1.17822e-06,1.17822e-06,1.17822e-06
3,15.2973,0.9507,4.15341,1.48843,0.82542,0.75,0.86668,0.60527,1.51008,1.15188,1.41699,2.33288e-06,2.33288e-06,2.33288e-06
4,21.1708,1.40163,2.87612,1.60869,0.82724,0.75,0.86842,0.60019,1.52391,1.15618,1.42968,3.46397e-06,3.46397e-06,3.46397e-06
5,29.5856,1.1397,3.70053,1.5805,0.83618,0.75,0.86465,0.60136,1.52658,1.1766,1.43454,4.5715e-06,4.5715e-06,4.5715e-06
6,34.2794,1.46868,4.99797,1.91398,0.84695,0.75,0.86658,0.60127,1.53033,1.17779,1.43468,5.65548e-06,5.65548e-06,5.65548e-06
7,39.1089,1.06149,2.18462,1.45133,0.85313,0.75,0.86665,0.5904,1.53452,1.18137,1.43786,6.71588e-06,6.71588e-06,6.71588e-06
8,43.7386,1.16706,3.68316,1.49597,0.85367,0.75,0.8668,0.5756,1.54156,1.17966,1.44058,7.75273e-06,7.75273e-06,7.75273e-06
9,48.4192,1.2392,3.23104,1.6306,0.85417,0.75,0.86843,0.57367,1.54184,1.18617,1.44134,8.76602e-06,8.76602e-06,8.76602e-06
10,53.0298,1.09133,3.27655,1.58855,0.85676,0.75,0.86935,0.57302,1.53653,1.18745,1.44226,9.75574e-06,9.75574e-06,9.75574e-06
11,57.737,1.22121,2.79289,1.57495,0.85674,0.75,0.86937,0.57324,1.53079,1.18258,1.44063,1.07219e-05,1.07219e-05,1.07219e-05
12,62.2989,0.97205,2.18472,1.46006,0.85656,0.75,0.86914,0.57396,1.52511,1.18067,1.43801,1.16645e-05,1.16645e-05,1.16645e-05
13,66.8996,0.95122,2.39325,1.26245,0.8584,0.7392,0.87075,0.5744,1.51869,1.17715,1.43388,1.25835e-05,1.25835e-05,1.25835e-05
14,71.6862,1.2374,2.67869,1.71022,0.866,0.73255,0.87171,0.57496,1.51459,1.18064,1.43407,1.3479e-05,1.3479e-05,1.3479e-05
